Начало записи аннотаций к разметке
Имя файла | Вероятности | Предсказанный класс
68.bmp, [0.9885, 0.0115], 0
168.bmp, [0.9997, 0.0003], 0
100.bmp, [0.9997, 0.0003], 0
11.bmp, [0.9999, 0.0001], 0
179.bmp, [0.9986, 0.0014], 0
67.bmp, [0.9937, 0.0063], 0
46.bmp, [0.9997, 0.0003], 0
155.bmp, [0.9977, 0.0023], 0
186.bmp, [0.9962, 0.0038], 0
86.bmp, [0.9981, 0.0019], 0
56.bmp, [0.9979, 0.0021], 0
53.bmp, [0.9989, 0.0011], 0
101.bmp, [0.9978, 0.0022], 0
34.bmp, [0.9998, 0.0002], 0
1.bmp, [0.9922, 0.0078], 0
121.bmp, [0.9960, 0.0040], 0
21.bmp, [1.0000, 0.0000], 0
36.bmp, [0.9999, 0.0001], 0
9.bmp, [0.9882, 0.0118], 0
94.bmp, [0.9790, 0.0210], 0
164.bmp, [0.9999, 0.0001], 0
109.bmp, [0.9997, 0.0003], 0
16.bmp, [0.9844, 0.0156], 0
138.bmp, [0.9941, 0.0059], 0
125.bmp, [0.9945, 0.0055], 0
66.bmp, [0.9994, 0.0006], 0
135.bmp, [0.9992, 0.0008], 0
122.bmp, [0.9932, 0.0068], 0
134.bmp, [0.9996, 0.0004], 0
8.bmp, [0.9994, 0.0006], 0
131.bmp, [0.9977, 0.0023], 0
108.bmp, [0.9859, 0.0141], 0
48.bmp, [0.9988, 0.0012], 0
22.bmp, [0.9992, 0.0008], 0
102.bmp, [0.9999, 0.0001], 0
65.bmp, [0.9979, 0.0021], 0
111.bmp, [0.9996, 0.0004], 0
143.bmp, [0.9999, 0.0001], 0
39.bmp, [0.9999, 0.0001], 0
29.bmp, [0.9999, 0.0001], 0
17.bmp, [0.9933, 0.0067], 0
5.bmp, [0.8974, 0.1026], 0
7.bmp, [0.9998, 0.0002], 0
84.bmp, [0.9995, 0.0005], 0
123.bmp, [0.9975, 0.0025], 0
142.bmp, [0.9892, 0.0108], 0
57.bmp, [0.9990, 0.0010], 0
10.bmp, [0.9992, 0.0008], 0
64.bmp, [0.9917, 0.0083], 0
82.bmp, [0.9760, 0.0240], 0
61.bmp, [0.9929, 0.0071], 0
124.bmp, [0.9990, 0.0010], 0
196.bmp, [0.9980, 0.0020], 0
191.bmp, [0.9998, 0.0002], 0
19.bmp, [1.0000, 0.0000], 0
50.bmp, [0.9988, 0.0012], 0
90.bmp, [0.9984, 0.0016], 0
165.bmp, [0.9961, 0.0039], 0
114.bmp, [0.9991, 0.0009], 0
160.bmp, [1.0000, 0.0000], 0
18.bmp, [0.9997, 0.0003], 0
173.bmp, [0.9999, 0.0001], 0
116.bmp, [0.9849, 0.0151], 0
45.bmp, [1.0000, 0.0000], 0
127.bmp, [0.9917, 0.0083], 0
69.bmp, [0.9953, 0.0047], 0
2.bmp, [0.9998, 0.0002], 0
174.bmp, [0.9999, 0.0001], 0
73.bmp, [0.9996, 0.0004], 0
76.bmp, [0.9959, 0.0041], 0
12.bmp, [0.9901, 0.0099], 0
78.bmp, [0.9991, 0.0009], 0
3.bmp, [0.9998, 0.0002], 0
33.bmp, [1.0000, 0.0000], 0
148.bmp, [0.9997, 0.0003], 0
183.bmp, [0.9994, 0.0006], 0
106.bmp, [0.9963, 0.0037], 0
137.bmp, [0.9919, 0.0081], 0
20.bmp, [0.9999, 0.0001], 0
72.bmp, [0.9867, 0.0133], 0
58.bmp, [0.9485, 0.0515], 0
40.bmp, [0.9666, 0.0334], 0
77.bmp, [0.9797, 0.0203], 0
153.bmp, [0.9999, 0.0001], 0
166.bmp, [0.9999, 0.0001], 0
133.bmp, [0.9994, 0.0006], 0
23.bmp, [0.9999, 0.0001], 0
136.bmp, [0.9991, 0.0009], 0
89.bmp, [0.9966, 0.0034], 0
103.bmp, [0.9979, 0.0021], 0
49.bmp, [0.9998, 0.0002], 0
182.bmp, [0.9991, 0.0009], 0
95.bmp, [0.9912, 0.0088], 0
43.bmp, [0.9997, 0.0003], 0
152.bmp, [0.9983, 0.0017], 0
184.bmp, [0.9959, 0.0041], 0
44.bmp, [0.9985, 0.0015], 0
193.bmp, [0.9968, 0.0032], 0
71.bmp, [0.9881, 0.0119], 0
147.bmp, [0.9862, 0.0138], 0
119.bmp, [0.9950, 0.0050], 0
4.bmp, [0.9990, 0.0010], 0
52.bmp, [0.9991, 0.0009], 0
163.bmp, [0.9994, 0.0006], 0
104.bmp, [0.9823, 0.0177], 0
15.bmp, [0.9993, 0.0007], 0
172.bmp, [0.9999, 0.0001], 0
141.bmp, [0.9996, 0.0004], 0
37.bmp, [0.9983, 0.0017], 0
80.bmp, [0.9925, 0.0075], 0
117.bmp, [0.9997, 0.0003], 0
88.bmp, [0.9985, 0.0015], 0
158.bmp, [0.9975, 0.0025], 0
99.bmp, [0.9907, 0.0093], 0
178.bmp, [1.0000, 0.0000], 0
13.bmp, [0.9957, 0.0043], 0
189.bmp, [0.9972, 0.0028], 0
112.bmp, [0.9988, 0.0012], 0
55.bmp, [0.9980, 0.0020], 0
74.bmp, [0.9975, 0.0025], 0
91.bmp, [0.9973, 0.0027], 0
139.bmp, [0.9995, 0.0005], 0
149.bmp, [0.9281, 0.0719], 0
0.bmp, [0.9993, 0.0007], 0
190.bmp, [0.9989, 0.0011], 0
162.bmp, [0.9998, 0.0002], 0
177.bmp, [0.9998, 0.0002], 0
181.bmp, [0.9994, 0.0006], 0
151.bmp, [0.9979, 0.0021], 0
132.bmp, [0.9998, 0.0002], 0
161.bmp, [0.9981, 0.0019], 0
63.bmp, [0.9998, 0.0002], 0
87.bmp, [0.9955, 0.0045], 0
35.bmp, [0.9999, 0.0001], 0
157.bmp, [0.9988, 0.0012], 0
118.bmp, [0.9999, 0.0001], 0
54.bmp, [0.9869, 0.0131], 0
195.bmp, [0.9993, 0.0007], 0
194.bmp, [0.9998, 0.0002], 0
92.bmp, [0.9947, 0.0053], 0
144.bmp, [0.9998, 0.0002], 0
107.bmp, [0.9807, 0.0193], 0
31.bmp, [1.0000, 0.0000], 0
62.bmp, [0.9928, 0.0072], 0
96.bmp, [0.9989, 0.0011], 0
146.bmp, [0.9997, 0.0003], 0
105.bmp, [0.9963, 0.0037], 0
28.bmp, [0.9980, 0.0020], 0
83.bmp, [0.9987, 0.0013], 0
185.bmp, [0.9962, 0.0038], 0
129.bmp, [0.9887, 0.0113], 0
30.bmp, [0.9948, 0.0052], 0
27.bmp, [0.9845, 0.0155], 0
150.bmp, [0.9999, 0.0001], 0
171.bmp, [0.8709, 0.1291], 0
42.bmp, [0.9999, 0.0001], 0
113.bmp, [0.9983, 0.0017], 0
110.bmp, [0.9979, 0.0021], 0
41.bmp, [0.9995, 0.0005], 0
51.bmp, [0.0134, 0.9866], 1
60.bmp, [0.9993, 0.0007], 0
14.bmp, [0.9999, 0.0001], 0
38.bmp, [0.9995, 0.0005], 0
140.bmp, [0.9989, 0.0011], 0
169.bmp, [0.4474, 0.5526], 1
192.bmp, [0.9998, 0.0002], 0
154.bmp, [0.9996, 0.0004], 0
187.bmp, [0.8629, 0.1371], 0
24.bmp, [1.0000, 0.0000], 0
199.bmp, [0.9851, 0.0149], 0
130.bmp, [0.9992, 0.0008], 0
70.bmp, [0.9999, 0.0001], 0
120.bmp, [0.9992, 0.0008], 0
167.bmp, [0.9994, 0.0006], 0
26.bmp, [0.9998, 0.0002], 0
59.bmp, [0.9967, 0.0033], 0
